run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
8,1677,0,0,DELIVERY,0,0,0
8,1766,565,565,STOCK_LEVEL,0,0,0
8,1766,531,531,STOCK_LEVEL,0,0,0
8,1778,446,446,STOCK_LEVEL,0,0,0
8,1783,17,17,PAYMENT,0,0,0
8,1794,532,532,STOCK_LEVEL,0,0,0
8,1794,28,28,PAYMENT,0,0,0
8,1811,17,17,PAYMENT,0,0,0
8,1823,12,12,PAYMENT,0,0,0
8,1823,0,0,DELIVERY,0,0,0
8,1837,59,59,NEW_ORDER,0,0,0
8,1844,61,61,NEW_ORDER,0,0,0
8,1855,61,61,NEW_ORDER,0,0,0
8,1856,19,19,PAYMENT,0,0,0
8,1869,25,25,NEW_ORDER,1,0,0
8,1869,0,0,DELIVERY,0,0,0
8,1876,21,21,NEW_ORDER,0,0,0
8,1877,200,200,DELIVERY_BG,0,0,0
8,1899,43,43,NEW_ORDER,0,0,0
8,1899,0,0,DELIVERY,0,0,0
8,1919,42,42,NEW_ORDER,0,0,0
8,2161,284,284,NEW_ORDER,0,0,0
8,2165,245,245,PAYMENT,0,0,0
8,2167,617,617,STOCK_LEVEL,0,0,0
8,2175,10,10,PAYMENT,0,0,0
8,2176,353,353,DELIVERY_BG,0,0,0
8,2185,9,9,STOCK_LEVEL,0,0,0
8,2192,293,293,DELIVERY_BG,0,0,0
8,2199,32,32,NEW_ORDER,0,0,0
8,2199,0,0,DELIVERY,0,0,0
8,2202,17,17,NEW_ORDER,0,0,0
8,2210,341,341,DELIVERY_BG,0,0,0
8,2211,50,50,NEW_ORDER,0,0,0
8,2212,37,37,NEW_ORDER,0,0,0
8,2220,28,28,NEW_ORDER,0,0,0
8,2225,15,15,NEW_ORDER,0,0,0
8,2228,8,8,PAYMENT,0,0,0
8,2228,0,0,DELIVERY,0,0,0
8,2234,23,23,NEW_ORDER,0,0,0
8,2234,9,9,ORDER_STATUS,0,0,0
8,2237,35,35,NEW_ORDER,0,0,0
8,2245,8,8,PAYMENT,0,0,0
8,2245,11,11,PAYMENT,0,0,0
8,2250,38,38,NEW_ORDER,0,0,0
8,2254,9,9,PAYMENT,0,0,0
8,2256,22,22,NEW_ORDER,0,0,0
