run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
11,3207,5,5,PAYMENT,0,0,0
11,3207,0,0,DELIVERY,0,0,0
11,3264,57,57,DELIVERY_BG,0,0,0
11,3279,15,15,NEW_ORDER,0,0,0
11,3299,20,20,NEW_ORDER,0,0,0
11,3304,5,5,PAYMENT,0,0,0
11,3309,5,5,PAYMENT,0,0,0
11,3314,5,5,PAYMENT,0,0,0
11,3319,5,5,PAYMENT,0,0,0
11,3330,11,11,NEW_ORDER,0,0,0
11,3347,17,17,NEW_ORDER,0,0,0
11,3361,14,14,NEW_ORDER,1,0,0
11,3366,5,5,PAYMENT,0,0,0
11,3383,17,17,NEW_ORDER,0,0,0
11,3396,13,13,NEW_ORDER,0,0,0
11,3402,6,6,PAYMENT,0,0,0
11,3407,5,5,PAYMENT,0,0,0
11,3420,13,13,STOCK_LEVEL,0,0,0
11,3424,4,4,PAYMENT,0,0,0
11,3429,5,5,PAYMENT,0,0,0
11,3429,0,0,DELIVERY,0,0,0
11,3465,36,36,DELIVERY_BG,0,0,0
11,3470,5,5,PAYMENT,0,0,0
11,3479,9,9,STOCK_LEVEL,0,0,0
11,3484,5,5,PAYMENT,0,0,0
11,3495,11,11,NEW_ORDER,0,0,0
11,3505,10,10,NEW_ORDER,0,0,0
11,3520,15,15,NEW_ORDER,0,0,0
11,3526,6,6,PAYMENT,0,0,0
11,3530,4,4,PAYMENT,0,0,0
11,3542,12,12,NEW_ORDER,0,0,0
11,3553,11,11,NEW_ORDER,0,0,0
11,3557,4,4,PAYMENT,0,0,0
11,3568,11,11,NEW_ORDER,0,0,0
11,3573,5,5,ORDER_STATUS,0,0,0
11,3577,4,4,PAYMENT,0,0,0
11,3594,17,17,NEW_ORDER,0,0,0
11,3599,5,5,PAYMENT,0,0,0
11,3612,13,13,NEW_ORDER,0,0,0
11,3621,9,9,NEW_ORDER,0,0,0
11,3626,5,5,PAYMENT,0,0,0
11,3631,5,5,PAYMENT,0,0,0
11,3635,4,4,PAYMENT,0,0,0
11,3635,0,0,DELIVERY,0,0,0
11,3699,64,64,DELIVERY_BG,0,0,0
11,3716,16,16,NEW_ORDER,0,0,0
11,3721,4,4,PAYMENT,0,0,0
11,3726,5,5,PAYMENT,0,0,0
11,3730,4,4,PAYMENT,0,0,0
11,3738,8,8,STOCK_LEVEL,0,0,0
11,3751,13,13,NEW_ORDER,0,0,0
11,3764,13,13,NEW_ORDER,0,0,0
11,3773,9,9,NEW_ORDER,0,0,0
11,3795,22,22,NEW_ORDER,0,0,0
11,3800,5,5,PAYMENT,0,0,0
11,3818,18,18,NEW_ORDER,0,0,0
11,3836,18,18,NEW_ORDER,0,0,0
11,3854,18,18,NEW_ORDER,0,0,0
11,3859,5,5,PAYMENT,0,0,0
11,3873,14,14,NEW_ORDER,0,0,0
11,3891,18,18,NEW_ORDER,0,0,0
11,3895,4,4,PAYMENT,0,0,0
11,3899,4,4,PAYMENT,0,0,0
11,3921,22,22,NEW_ORDER,0,0,0
11,3934,13,13,STOCK_LEVEL,0,0,0
11,3953,19,19,NEW_ORDER,0,0,0
11,3958,5,5,PAYMENT,0,0,0
11,3972,14,14,NEW_ORDER,0,0,0
11,3985,13,13,NEW_ORDER,0,0,0
