run,elapsed,device,rxpktsps,rxkbps,txpktsps,txkbps
16,248000,net_eth0,3206.0,561.028320312,3136.0,1387.02050781
16,249000,net_eth0,3405.0,591.61328125,3303.0,1745.81445312
16,250000,net_eth0,3421.0,574.063476562,3305.0,1838.86425781
16,251000,net_eth0,3426.0,582.837890625,3320.0,1726.73730469
16,252000,net_eth0,3137.0,509.955078125,3011.0,1824.49902344
16,253000,net_eth0,3374.0,544.53515625,3241.0,1978.69238281
16,254000,net_eth0,3236.0,549.251953125,3156.0,1415.49023438
16,255000,net_eth0,3238.0,511.709960938,3071.0,2267.31152344
16,256000,net_eth0,3372.0,566.655273438,3260.0,1839.99316406
16,257000,net_eth0,3302.0,566.159179688,3228.0,1450.77636719
16,258000,net_eth0,3339.0,567.305664062,3240.0,1701.80566406
16,259000,net_eth0,3297.0,557.758789062,3206.0,1560.60742188
16,260000,net_eth0,3360.0,583.607421875,3282.0,1468.42089844
16,261000,net_eth0,3377.0,562.895507812,3258.0,1852.11523438
16,262000,net_eth0,3307.0,560.395507812,3199.0,1786.32128906
16,263000,net_eth0,3305.0,591.34765625,3259.0,1249.62011719
16,264000,net_eth0,3496.0,575.778320312,3348.0,2231.08789062
16,265000,net_eth0,3394.0,586.279296875,3298.0,1600.296875
16,266000,net_eth0,3380.0,609.913085938,3327.0,1258.25683594
16,267000,net_eth0,3152.0,568.291015625,3118.0,1071.45019531
16,268000,net_eth0,3366.0,579.065429688,3273.0,1598.73144531
16,269000,net_eth0,3295.0,577.326171875,3215.0,1466.67480469
16,270000,net_eth0,3391.0,600.942382812,3318.0,1476.21289062
16,271000,net_eth0,3256.0,574.622070312,3202.0,1235.96777344
16,272000,net_eth0,3197.0,535.9921875,3095.0,1664.30273438
16,273000,net_eth0,2946.0,522.963867188,2890.0,1150.8671875
16,274000,net_eth0,3136.0,563.736328125,3085.0,1196.94335938
16,275000,net_eth0,3252.0,559.000976562,3164.0,1572.20898438
16,276000,net_eth0,3174.0,539.69921875,3090.0,1409.77148438
16,277000,net_eth0,3322.0,561.6484375,3208.0,1828.44238281
16,278000,net_eth0,3179.0,543.465820312,3080.0,1683.47460938
16,279000,net_eth0,3265.0,566.069335938,3183.0,1448.1640625
16,280000,net_eth0,3247.0,551.681640625,3153.0,1558.78710938
16,281000,net_eth0,3094.0,542.274414062,3046.0,1163.11328125
16,282000,net_eth0,3306.0,569.235351562,3222.0,1527.6875
16,283000,net_eth0,3319.0,569.36328125,3218.0,1769.73144531
16,284000,net_eth0,3042.0,535.872070312,2987.0,1163.00585938
16,285000,net_eth0,3196.0,556.827148438,3126.0,1306.11132812
16,286000,net_eth0,3165.0,562.716796875,3124.0,1065.97949219
16,287000,net_eth0,3148.0,567.864257812,3115.0,1077.66113281
16,288000,net_eth0,3252.0,571.227539062,3180.0,1466.77148438
16,289000,net_eth0,3300.0,564.193359375,3203.0,1581.98339844
16,290000,net_eth0,3193.0,515.845703125,3053.0,2021.25976562
16,291000,net_eth0,3378.0,561.359375,3239.0,2087.66699219
16,292000,net_eth0,3269.0,554.624023438,3187.0,1433.62011719
16,293000,net_eth0,3297.0,564.375,3205.0,1568.66113281
16,294000,net_eth0,2992.0,515.825195312,2915.0,1393.51660156
16,295000,net_eth0,3264.0,552.043945312,3159.0,1816.96582031
16,296000,net_eth0,3263.0,572.154296875,3200.0,1330.79492188
16,297000,net_eth0,3252.0,568.7578125,3179.0,1323.49511719
16,298000,net_eth0,3260.0,560.73828125,3180.0,1438.96875
16,299000,net_eth0,3148.0,550.974609375,3062.0,1566.44921875
16,300000,net_eth0,1510.0,270.487304688,1497.0,452.307617188
